Algo Capital,NC3816,CTA,Systematic,Multi Strategy,Global
Algocentric Capital,$100000 Program,CTA,Systematic,Trend Following,Global
Algocentric Capital,Algo II Trading Prog,CTA,Systematic,Trend Following,Global
AlgoLab Capital Management,AlphaEngine Program,CTA,Systematic,AI,Global
Algorithmic Futures,Tandem Trading Program,CTA,Systematic,Short Term,Global
Algotrade Solutions Pte,Algotrade Strategy (Composite),CTA,Systematic,Multi Strategy,Currency
Alis Capital Management,AAA Fund,CTA,Systematic,Trend Following,Global
Alken,Absolute Return,Equity LS,Discretionary,Fundamental,Europe
AllianceBernstein,Alternative Risk Premia,RiskPremia,Systematic,Multi Strategy,Global
AllianceBernstein,Arya European Market Neutral,Market Neutral,Discretionary,Fundamental,Europe
AllianceBernstein,Global Risk Allocation,AssetAllocation,Discretionary,Diversified,Global
AllianceBernstein,Select US Long/Short,Equity LS,Discretionary,Growth,US
Allianz Global Investors,Discovery Europe Strategy,Equity LS,Discretionary,Fundamental,Europe
Allianz Global Investors,Event Driven Strategy,Event Driven,Discretionary,Fundamental,Global
Allianz Global Investors,Fixed Income Macro,Fixed Income,Discretionary,Fundamental,Global
Allianz Global Investors,Global Dynamic Allocation,AssetAllocation,Discretionary,Diversified,Global
Allianz Global Investors,Japan Equity Long Short,Market Neutral,Discretionary,Fundamental,Asia
Allianz Global Investors,Managed Futures Strategy,CTA,Systematic,Trend Following,Global
Allianz Global Investors,Managed Futures Strategy (40-act),CTA,Systematic,Trend Following,Global
Allianz Global Investors,Merger Arbitrage Strategy,Event Driven,MergerArb,Fundamental,Global
Allianz Global Investors,Multi Asset Risk Premia,RiskPremia,Systematic,Multi Strategy,Global
Allianz Global Investors,Volatility Strategy,RiskPremia,Systematic,Multi Strategy,Volatility
AllMountain Capital AG,Mount Denali Global Trends,CTA,Systematic,Trend Following,Global
AllSeasonsPTL Investment Management,Global Diversified Trends Ltd,CTA,Systematic,Trend Following,Global
Alma,UBS Multi Strategy Alternative,Hedge Fund,Fund of Funds,Diversified,Global
Alo Alo,SCORPIO,Crypto,Crypto,Crypto,Crypto
Alpha Capital Ventures,Alpha Global,CTA,Systematic,Trend Following,Global
Alpha Capital Ventures,Alpha Global Program (Proprietary),CTA,Discretionary,Technical,Global
Alpha Centauri Capital Management,Tactical Opportunities,CTA,Discretionary,Fundamental,Global
Alpha Commodities Fund,Commodity Fund,CTA,Fund of Funds,Diversified,Global
Alpha CP Trading,Alpha CP Trading,CTA,Systematic,Short Term,Global
Alpha Securities,Tortoise Portfolio,CTA,Systematic,Short Term,Global
Alpha Z Advisors,Alpha Z Futures,CTA,Systematic,Multi Strategy,Global
Alpha Z Advisors,SMA,CTA,Discretionary,Multi Strategy,Equity
AlphaCentric Advisors,Hedged Market Opportunity,CTA,Systematic,Option Writer,Equity
AlphaGen Capital Limited,Long Short Agriculture Fund,CTA,Discretionary,Fundamental,Agricultural
AlphaSimplex Group,Managed Futures Composite,CTA,Systematic,Trend Following,Global
Alpina Investments,MOD2,CTA,Systematic,Multi Strategy,Currency
Alpine,Merger Arbitrage,Event Driven,MergerArb,Fundamental,Global
Alpine Trading,Vail Fund Swing Trading,CTA,Discretionary,Fundamental,Commodity
ALPS,ALPS/Stadion Core ETF III,AssetAllocation,Systematic,Diversified,Global
ALPS,ALPS/Stadion Tactical Growth III,AssetAllocation,Systematic,Diversified,Global
Altair Quant Macro,FX Alpha,CTA,Systematic,Short Term,Currency
Altaloma Asset Management,Short Term Counter Trend,CTA,Systematic,Short Term,Equity
Altana Wealth,Altana Digital Currency Fund (ADCF),Crypto,Crypto,Crypto,Crypto
Altarius Asset Management,D&R SpeedLab Opportunity Fund,CTA,Systematic,Multi Strategy,Currency
Altavest Private Client Services,Legend,CTA,Fund of Funds,Diversified,Global
Altavest Wealth Management,Altavest Multi-Strategy,CTA,Fund of Funds,Diversified,Global
Altcoin Advisors,Altcoin Investment Fund LP,Crypto,Crypto,Crypto,Crypto
Altegris Advisors,Evolution,CTA,Fund of Funds,Diversified,Global
Altegris Advisors,Macro Strategy,CTA,Fund of Funds,Diversified,Global
Altegris Advisors,Managed Futures,CTA,Fund of Funds,Diversified,Global
Alternative Asset Management,ACMP (Combined),CTA,Discretionary,Fundamental,Currency
Alternative Asset Management,ACMP (Long Only),CTA,Discretionary,Fundamental,Currency
Alternative Asset Management Limited,Megalio Futures Alpha Fund,CTA,Systematic,Trend Following,Global
Alternative Asset Management Limited,Megalio Vision Fund,CTA,Systematic,Short Term,Global
Alternative Capital Advisors,Strategic Ag Program,CTA,Discretionary,Fundamental,Agricultural
